DT_REFER;DENOM_CIA;Ativo Circulante;Ativo Não Circulante;Ativo Total;Passivo Circulante;Passivo Não Circulante;Passivo Total;Patrimônio Líquido Consolidado;passivo
2011-12-31;EMBRAER S.A.;9696702.0;6919673.0;16616375.0;5330598.0;5437344.0;16616375.0;5848433.0;10767942.0
2011-12-31;ENAUTA PARTICIPAÇÕES S.A.;1258107.0;1471616.0;2729723.0;395348.0;158612.0;2729723.0;2175763.0;553960.0
2011-12-31;ENGIE BRASIL ENERGIA S.A.;1612706.0;10758515.0;12371221.0;1559196.0;5361767.0;12371221.0;5450258.0;6920963.0
2011-12-31;GERDAU S.A.;17319149.0;32662645.0;49981794.0;6777001.0;16684990.0;49981794.0;26519803.0;23461991.0
2011-12-31;HIDROVIAS DO BRASIL S.A.;62079.0;37328.0;99407.0;2760.0;0.0;99407.0;96647.0;2760.0
2011-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;54337.0;466001.0;520338.0;182019.0;471786.0;520338.0;-133467.0;653805.0
2011-12-31;JSL S.A.;1143035.0;2701814.0;3844849.0;715909.0;2285454.0;3844849.0;843486.0;3001363.0
2011-12-31;KLABIN S.A.;4083482.0;8658113.0;12741595.0;1932606.0;5850687.0;12741595.0;4958302.0;7783293.0
2011-12-31;MANGELS INDUSTRIAL S.A.;443786.0;391059.0;834845.0;293306.0;347620.0;834845.0;193919.0;640926.0
2011-12-31;MOURA DUBEUX ENGENHARIA S/A;1289606.0;721738.0;2011344.0;604996.0;1056324.0;2011344.0;350024.0;1661320.0
2011-12-31;OSX BRASIL S.A.;1315810.0;3132591.0;4448401.0;676601.0;1071493.0;4448401.0;2700307.0;1748094.0
2011-12-31;PADTEC HOLDING S.A.;611911.0;180550.0;792461.0;580176.0;96027.0;792461.0;116258.0;676203.0
2011-12-31;PBG S/A;215923.0;359579.0;575502.0;245403.0;248301.0;575502.0;81798.0;493704.0
2011-12-31;PETRO RIO S.A.;2853585.0;2536506.0;5390091.0;595510.0;922862.0;5390091.0;3871719.0;1518372.0
2011-12-31;POSITIVO TECNOLOGIA S.A.;1273320.0;294721.0;1568041.0;783078.0;165791.0;1568041.0;619172.0;948869.0
2011-12-31;RAIA DROGASIL S.A.;1625795.0;1542513.0;3168308.0;791232.0;175902.0;3168308.0;2201174.0;967134.0
2011-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;3387890.0;9547940.0;12935830.0;5585466.0;5461719.0;12935830.0;1888645.0;11047185.0
2011-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1684108.0;347051.0;2031159.0;521776.0;796443.0;2031159.0;712940.0;1318219.0
2011-12-31;RUMO S.A.;2961988.0;11180120.0;14142108.0;1941135.0;8113412.0;14142108.0;4087561.0;10054547.0
2011-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;969973.0;367473.0;1337446.0;538135.0;333104.0;1337446.0;466207.0;871239.0
2011-12-31;SER EDUCACIONAL S.A.;56545.0;230367.0;286912.0;42599.0;103377.0;286912.0;140936.0;145976.0
2011-12-31;SUZANO HOLDING S.A.;5449204.0;16541022.0;21990226.0;3069093.0;9419278.0;21990226.0;9501855.0;12488371.0
2011-12-31;SUZANO S.A.;5372151.0;16284928.0;21657079.0;3084566.0;8898964.0;21657079.0;9673549.0;11983530.0
2011-12-31;TAURUS ARMAS S.A.;750018.0;376639.0;1126657.0;465568.0;335854.0;1126657.0;325235.0;801422.0
2011-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;1565781.0;4924799.0;6490580.0;1657918.0;2580190.0;6490580.0;2252472.0;4238108.0
